,Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths,observationdate_value,count
5647,3674,Media,11.56,104.89,Asia,Cambodia,Phnom Penh,Pong Peay,Unknown,12/1/04,12/1/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",7500.0,3300.0,3300.0,,,,,,,2004.03288,1
72898,3682,Other,17.516389999999998,101.07167,Asia,Lao People's Democratic Republic,Xaignabouli,Ban Nonsavang,Unknown,15/01/2004,27/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,2100.0,2100.0,300.0,,,,,,2004.0411,2
53150,4118,Other,18.03361,102.63221999999999,Asia,Lao People's Democratic Republic,Vientiane capital,Ban Dongdok,Unknown,16/01/2004,16/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,2600.0,2600.0,7950.0,,,,,,2004.04384,3
2556,4164,Other,11.59,104.88,Asia,Cambodia,Phnom Penh,Boeung Daun Pa,Unknown,16/01/2004,5/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, goose",,43.0,34.0,9.0,,,,,,2004.04384,4
57203,4130,Other,18.094720000000002,102.90278,Asia,Lao People's Democratic Republic,Vientiane capital,Ban Nonsomboun,Unknown,17/01/2004,17/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,3388.0,3388.0,6000.0,,,,,,2004.04658,5
72896,4086,Other,24.866670000000003,67.05,Asia,Pakistan,Sindh,Karachi,Unknown,19/01/2004,27/01/2004,Confirmed,Influenza - Avian,LPAI,"domestic, chicken",6400000.0,2500000.0,1200000.0,,500000.0,,,,,2004.05205,6
61357,4148,Other,17.51667,104.76666999999999,Asia,Lao People's Democratic Republic,Khammouan,Ban Phon Savanh,Unknown,19/01/2004,19/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,3394.0,3394.0,1906.0,,,,,,2004.05205,7
61360,4180,Other,11.44,105.12,Asia,Cambodia,Kandal,Preak Thom,Unknown,19/01/2004,19/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, guinea fowl, domestic, chicken, domestic, goose, domestic, turkey",267.0,207.0,207.0,16.0,,,,,,2004.05205,8
952,3704,Other,24.89333,102.79666999999999,Asia,China,Yunnan Sheng,Chenggong,Unknown,20/01/2004,2/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken",78000.0,78000.0,4820.0,145197.0,,,,,,2004.05479,9
62643,4122,Other,18.035829999999997,102.64972,Asia,Lao People's Democratic Republic,Vientiane capital,Ban Saphang Meuk,Unknown,20/01/2004,20/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,2500.0,2500.0,250.0,,,,,,2004.05479,10
956,3608,Other,28.889,120.04700000000001,Asia,China,Zhejiang Sheng,Yong kang,Exact,20/01/2004,2/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",850.0,550.0,550.0,67789.0,,,,,,2004.05479,11
62644,4134,Other,18.015279999999997,102.39667,Asia,Lao People's Democratic Republic,Vientiane capital,Ban Ang Gnai,Unknown,20/01/2004,20/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,4.0,4.0,,,,,,,2004.05479,12
2555,3710,Other,28.293000000000003,117.245,Asia,China,Jiangxi Sheng,Huangqiao,Exact,22/01/2004,5/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",8600.0,8600.0,8600.0,21955.0,,,,,,2004.06027,13
954,3610,Other,43.8,87.58333,Asia,China,Xinjiang Uygur Zizhiqu,Urumqi,Unknown,23/01/2004,2/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",6400.0,4508.0,4508.0,2342.0,,,,,,2004.06301,14
69475,4106,Other,18.0,102.66667,Asia,Lao People's Democratic Republic,Vientiane capital,Ban Nong Nieng,Unknown,24/01/2004,24/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1600.0,1600.0,1350.0,,,,,,2004.06575,15
76351,3590,Other,23.671999999999997,116.646,Asia,China,Guangdong Sheng,Gugang,Exact,24/01/2004,31/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",180.0,,80.0,7610.0,,,,,,2004.06575,16
76350,3586,Other,30.4,114.83333,Asia,China,Hubei Sheng,Ezhou,Unknown,25/01/2004,31/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, goose",564.0,200.0,200.0,,,,,,,2004.06849,17
3474,3724,Other,24.75861,103.26528,Asia,China,Yunnan Sheng,Lufu,Unknown,26/01/2004,6/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",7400.0,3474.0,2653.0,253389.0,,,,,,2004.07123,18
5722,3924,Other,27.276670000000003,111.66806000000001,Asia,China,Hunan Sheng,Niumasi,Unknown,27/01/2004,12/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",,840.0,457.0,58600.0,,,,,,2004.07397,19
73711,3906,Other,30.771109999999997,111.32167,Asia,China,Hubei Sheng,Yichang,Unknown,28/01/2004,28/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",,,4703.0,19313.0,,,,,,2004.07671,20
73712,4376,Other,18.04861,102.66083,Asia,Lao People's Democratic Republic,Vientiane capital,Don Noun,Unknown,28/01/2004,28/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,2940.0,2940.0,700.0,,,,,,2004.07671,21
2045,3660,Other,33.27,115.353,Asia,China,Anhui Sheng,Jieshou,Exact,28/01/2004,4/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,2700.0,2700.0,147953.0,,,,,,2004.07671,22
68409,3942,Media,18.00167,102.63361,Asia,Lao People's Democratic Republic,Vientiane capital,Ban Chommani,Unknown,28/01/2004,23/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1000.0,1000.0,150.0,,,,,,2004.07671,23
73714,4174,Other,13.33,103.86,Asia,Cambodia,Siem Reap,Boeung Daun pa,Unknown,28/01/2004,28/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",7.0,2.0,2.0,,,,,,,2004.07671,24
75722,3594,Other,30.89306,119.41361,Asia,China,Anhui Sheng,Guangde,Unknown,30/01/2004,30/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken",,,3700.0,35609.0,,,,,,2004.08219,25
5724,3916,Other,30.06056,112.22417,Asia,China,Hubei Sheng,Gong An,Unknown,31/01/2004,12/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",,264.0,264.0,25258.0,,,,,,2004.08493,26
2529,3688,Other,25.015,102.744,Asia,China,Yunnan Sheng,Guandu,Exact,1/2/04,5/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird, domestic, chicken, domestic, quail",1598.0,1598.0,48206.0,2427994.0,,,,,,2004.08767,27
955,3842,Media,32.95389,114.62722,Asia,China,Henan Sheng,Pingyu,Unknown,2/2/04,2/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",2600.0,1500.0,790.0,1810.0,,,,,,2004.09041,28
967,4152,Other,15.116670000000001,105.78333,Asia,Lao People's Democratic Republic,Champasak,Pakse,Unknown,2/2/04,2/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,63.0,63.0,437.0,,,,,,2004.09041,29
5315,3854,Other,25.76333,102.52333,Asia,China,Yunnan Sheng,Tuanjie,Unknown,4/2/04,10/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken",,8326.0,8326.0,15651.0,,,,,,2004.09589,30
2070,4144,Other,16.633329999999997,105.13333,Asia,Lao People's Democratic Republic,Savannakhet,Ban Nong Hay,Unknown,4/2/04,4/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,164.0,164.0,,,,,,,2004.09589,31
2553,3714,Media,31.675,118.48333000000001,Asia,China,Anhui Sheng,Yushan,Unknown,5/2/04,5/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,18200.0,1585.0,,,,,,2004.09863,32
68580,4462,Other,11.02,104.78,Asia,Cambodia,Takeo,Snaur,Unknown,6/2/04,23/03/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",1200.0,1020.0,1020.0,180.0,,,,,,2004.10137,33
53450,3996,Other,25.118000000000002,114.31200000000001,Asia,China,Guangdong Sheng,Huangkeng,Exact,6/2/04,16/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird, domestic, chicken, domestic, goose",,750.0,500.0,156458.0,,,,,,2004.10137,34
5317,3872,Other,22.232,113.196,Asia,China,Guangdong Sheng,Doumen,Exact,7/2/04,10/2/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, unspecified bird, domestic, chicken",,1140.0,2172.0,31172.0,,,,,,2004.10411,35
53451,3956,Other,29.65,91.1,Asia,China,Xizang Zizhiqu,Lhasa,Unknown,8/2/04,16/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,425.0,425.0,425.0,,,,,,2004.10685,36
68579,4456,Other,11.43,104.95,Asia,Cambodia,Kandal,Prek Samrong,Unknown,9/2/04,23/03/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",2500.0,1700.0,1700.0,800.0,,,,,,2004.10959,37
68583,4480,Other,13.366670000000001,103.85,Asia,Cambodia,Siem Reap,Siem Reap,Unknown,11/2/04,23/03/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",2000.0,2.0,2.0,,,,,,,2004.11507,38
53452,3994,Other,25.339000000000002,103.037,Asia,China,Yunnan Sheng,Songming,Exact,12/2/04,16/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird, domestic, duck, domestic, chicken",,219.0,219.0,82652.0,,,,,,2004.11781,39
45849,4110,Other,18.18806,102.57389,Asia,Lao People's Democratic Republic,Vientiane capital,Ban Phonxai,Unknown,13/02/2004,13/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1775.0,1775.0,5525.0,,,,,,2004.12055,40
68582,4460,Other,11.52,104.99,Asia,Cambodia,Kandal,Bok Ankaph,Unknown,13/02/2004,23/03/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",2700.0,167.0,167.0,2533.0,,,,,,2004.12055,41
53453,3962,Other,45.76667,123.76666999999999,Asia,China,Jilin Sheng,Yanjiang,Unknown,14/02/2004,16/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,49.0,49.0,49.0,,,,,,2004.12329,42
57734,4102,Other,18.009439999999998,102.68722,Asia,Lao People's Democratic Republic,Vientiane capital,Ban Sok Noi,Unknown,17/02/2004,17/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,850.0,850.0,9000.0,,,,,,2004.13151,43
57735,3968,National authorities,33.23722,131.60443999999998,Asia,Japan,Ooita,Oita,Unknown,17/02/2004,17/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, duck",,14.0,7.0,,,,,,,2004.13151,44
71345,4158,Other,35.45,137.73306000000002,Asia,Japan,Nagano,achi,Unknown,25/02/2004,25/02/2004,Denied,Influenza - Avian,HPAI,"domestic, chicken",,1.0,1.0,,,,,,,2004.15342,45
72218,4196,National authorities,35.44361,137.74778,Asia,Japan,Nagano,Tamba town (Hyogo Prefeture),Unknown,26/02/2004,26/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",200000.0,67500.0,67500.0,112000.0,,,,,,2004.15616,46
50464,4406,Other,17.63111,100.10083,Asia,Thailand,Uttaradit,Uttaradit,Unknown,14/03/2004,14/03/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,2209.0,2209.0,,,,,,,2004.2,47
67479,4514,Other,18.852220000000003,99.04528,Asia,Thailand,Chiang Mai,San Sai,Unknown,19/03/2004,22/03/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,20000.0,20000.0,,,,,,,2004.2137,48
5166,4904,Other,11.127599,104.77223599999999,Asia,Cambodia,Takeo,Kapnim,Unknown,24/03/2004,9/4/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,24.0,,,,,,,2004.2274,49
5167,4900,Other,12.06,105.46,Asia,Cambodia,Kampong Cham,Kah Samrong,Unknown,27/03/2004,9/4/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,3.0,,,,,,,2004.23562,50
5163,4566,Other,13.46667,101.09971999999999,Asia,Thailand,Chonburi,Phantong,Unknown,6/4/04,9/4/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",5526.0,,200.0,5326.0,,,,,,2004.26301,51
71606,4888,Other,18.79028,98.98167,Asia,Thailand,Chiang Mai,Chiang Mai,Unknown,22/05/2004,25/05/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",2048.0,473.0,473.0,1575.0,,,,,,2004.38904,52
4237,4978,Other,31.599,117.86200000000001,Asia,China,Anhui Sheng,Ju chao,Exact,28/06/2004,7/7/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",8160.0,1850.0,1520.0,22000.0,,,,,,2004.49041,53
4741,5400,Other,14.4666,100.1166,Asia,Thailand,Suphanburi,Muang Suphan,Unknown,3/7/04,8/10/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken, domestic, turkey",75453.0,,8160.0,67293.0,,,,,,2004.50411,54
4238,117375,National authorities,13.9844,100.54799999999999,Asia,Thailand,Pathum Thani,BANG KA D,Unknown,7/7/04,7/7/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",850.0,,120.0,730.0,,,,,,2004.51507,55
5175,117377,National authorities,17.6108,99.9952,Asia,Thailand,Uttaradit,CHAI CHUM,Unknown,9/7/04,9/7/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",1570.0,,484.0,1106.0,,,,,,2004.52055,56
5810,117387,National authorities,14.5741,100.1258,Asia,Thailand,Suphanburi,MOT DAENG,Unknown,12/7/04,12/7/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",4701.0,,4701.0,,,,,,,2004.52877,57
48839,117399,National authorities,19.9405,99.7069,Asia,Thailand,Chiang Rai,DOI HANG,Unknown,13/07/2004,13/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",472.0,,55.0,417.0,,,,,,2004.53151,58
51094,117407,National authorities,14.7025,100.6002,Asia,Thailand,Lopburi,NGIO RAI,Unknown,14/07/2004,14/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",14000.0,,4179.0,9871.0,,,,,,2004.53425,59
52646,117441,National authorities,13.8055,100.7222,Asia,Thailand,Bangkok,MINBURI,Unknown,15/07/2004,15/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",6.0,,5.0,1.0,,,,,,2004.53699,60
55551,117461,National authorities,14.423,100.2372,Asia,Thailand,Suphanburi,CHORA KHE,Unknown,16/07/2004,16/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",23700.0,,2341.0,21753.0,,,,,,2004.53973,61
58914,117469,National authorities,13.8263,100.5341,Asia,Thailand,Bangkok,BANG SUE,Unknown,17/07/2004,17/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",38.0,,21.0,17.0,,,,,,2004.54247,62
62340,117477,National authorities,14.0672,100.32799999999999,Asia,Thailand,Nonthaburi,RAT NIYOM,Unknown,19/07/2004,19/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",50000.0,,9365.0,40635.0,,,,,,2004.54795,63
64288,117493,National authorities,13.8966,100.4091,Asia,Thailand,Nonthaburi,BANG RAK,Unknown,20/07/2004,20/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",10000.0,,4887.0,5113.0,,,,,,2004.55068,64
66427,117505,National authorities,15.2041,100.3136,Asia,Thailand,Nakhon Sawan,NONG MO,Unknown,21/07/2004,21/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",16000.0,,1033.0,14967.0,,,,,,2004.55342,65
67748,117533,National authorities,16.0311,100.37799999999999,Asia,Thailand,Phichit,BANG MUN,Unknown,22/07/2004,22/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",5500.0,,2840.0,2660.0,,,,,,2004.55616,66
69214,117547,National authorities,16.5066,102.2074,Asia,Thailand,Khon Kaen,NON UDOM,Unknown,23/07/2004,23/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",130.0,,114.0,16.0,,,,,,2004.5589,67
70679,117557,National authorities,19.4594,99.7333,Asia,Thailand,Chiang Rai,MAE YEN,Unknown,24/07/2004,24/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",964.0,,91.0,873.0,,,,,,2004.56164,68
73465,117559,National authorities,17.5491,99.9586,Asia,Thailand,Uttaradit,DAN MAE K,Unknown,27/07/2004,27/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",5200.0,,837.0,4363.0,,,,,,2004.56986,69
74619,117561,National authorities,14.0141,100.4091,Asia,Thailand,Pathum Thani,LAT LUM K,Unknown,28/07/2004,28/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",14500.0,,2500.0,12000.0,,,,,,2004.5726,70
75395,117563,National authorities,6.1377,101.6308,Asia,Thailand,Narathiwat,DU SO YO,Unknown,29/07/2004,29/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",10.0,,8.0,2.0,,,,,,2004.57534,71
76122,117567,National authorities,13.6069,100.8641,Asia,Thailand,Samut Prakarn,BANG BO,Unknown,30/07/2004,30/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",140.0,,128.0,12.0,,,,,,2004.57808,72
1144,117581,National authorities,13.6878,100.7953,Asia,Thailand,Samut Prakarn,SRISA CHO,Unknown,2/8/04,2/8/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",2500.0,,300.0,2200.0,,,,,,2004.5863,73
1697,117583,National authorities,14.205,101.3747,Asia,Thailand,Nakhon Nayok,NOEN HOM,Unknown,3/8/04,3/8/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",60.0,,2.0,58.0,,,,,,2004.58904,74
2307,117587,National authorities,13.7377,101.165,Asia,Thailand,Chachoengsao,BANG TALA,Unknown,4/8/04,4/8/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",9.0,,3.0,6.0,,,,,,2004.59178,75
3742,117603,National authorities,13.9588,100.389,Asia,Thailand,Nonthaburi,BOANG BUA,Unknown,6/8/04,6/8/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",14000.0,,4000.0,10000.0,,,,,,2004.59726,76
4240,117605,National authorities,17.1255,101.8502,Asia,Thailand,Loei,NONG HIN,Unknown,7/8/04,7/8/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",403.0,,52.0,351.0,,,,,,2004.6,77
5394,117613,National authorities,16.1061,99.2394,Asia,Thailand,Kampaeng Phet,KHLONG LA,Unknown,10/8/04,10/8/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",300.0,,300.0,,,,,,,2004.60822,78
5583,117619,National authorities,14.2338,99.9788,Asia,Thailand,Suphanburi,SRI SAMRA,Unknown,11/8/04,11/8/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",17000.0,,4810.0,12190.0,,,,,,2004.61096,79
5833,117633,National authorities,14.0141,100.4091,Asia,Thailand,Pathum Thani,LAT LUM K,Unknown,12/8/04,12/8/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",4000.0,,200.0,3800.0,,,,,,2004.6137,80
49121,117641,National authorities,14.5642,100.26,Asia,Thailand,Ang Thong,PO MUANGP,Unknown,13/08/2004,13/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",70.0,,70.0,,,,,,,2004.61644,81
55755,117653,National authorities,13.8358,100.3979,Asia,Thailand,Nonthaburi,BANG MUAN,Unknown,16/08/2004,16/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",1200.0,,288.0,912.0,,,,,,2004.62466,82
58949,117661,National authorities,15.8377,99.5713,Asia,Thailand,Nakhon Sawan,WANG SAN,Unknown,17/08/2004,17/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",80.0,,30.0,50.0,,,,,,2004.6274,83
61092,117667,National authorities,15.7688,99.6522,Asia,Thailand,Nakhon Sawan,SANCHAO K,Unknown,18/08/2004,18/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",1521.0,,931.0,590.0,,,,,,2004.63014,84
62364,117669,National authorities,15.7794,99.5805,Asia,Thailand,Nakhon Sawan,MAE WANG,Unknown,19/08/2004,19/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",2050.0,,1005.0,1045.0,,,,,,2004.63288,85
64340,117687,National authorities,15.9563,99.6666,Asia,Thailand,Kampaeng Phet,BOTHAM,Unknown,20/08/2004,20/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",17500.0,,6587.0,10913.0,,,,,,2004.63562,86
66501,117689,National authorities,14.3163,100.9888,Asia,Thailand,Saraburi,WI HAN DA,Unknown,21/08/2004,21/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",9400.0,,390.0,9010.0,,,,,,2004.63836,87
70736,117697,National authorities,14.8794,100.4816,Asia,Thailand,Lopburi,KHOK SALU,Unknown,24/08/2004,24/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",112.0,,103.0,9.0,,,,,,2004.64658,88
71737,117711,National authorities,15.8811,99.5236,Asia,Thailand,Nakhon Sawan,KHAO CHON,Unknown,25/08/2004,25/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",1246.0,,919.0,327.0,,,,,,2004.64932,89
72707,117717,National authorities,15.4152,100.0174,Asia,Thailand,Uthai Thani,DON KHWAN,Unknown,26/08/2004,26/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",4980.0,,1134.0,3846.0,,,,,,2004.65205,90
73514,117723,National authorities,14.9541,100.5997,Asia,Thailand,Lopburi,PHU KHA,Unknown,27/08/2004,27/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",5000.0,,2240.0,2760.0,,,,,,2004.65479,91
74709,117729,National authorities,16.5236,100.5997,Asia,Thailand,Phitsanulok,BAN NOI S,Unknown,28/08/2004,28/08/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",70.0,,68.0,2.0,,,,,,2004.65753,92
1700,117741,National authorities,13.8161,100.4027,Asia,Thailand,Nonthaburi,PLAI BANG,Unknown,3/9/04,3/9/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",200.0,,197.0,3.0,,,,,,2004.67397,93
2893,117745,National authorities,15.7844,100.5477,Asia,Thailand,Nakhon Sawan,THAN THAH,Unknown,5/9/04,5/9/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",16300.0,,12746.0,3554.0,,,,,,2004.67945,94
3771,117751,National authorities,16.5013,100.2175,Asia,Thailand,Phichit,SAM NGAM,Unknown,6/9/04,6/9/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",9600.0,,4600.0,5000.0,,,,,,2004.68219,95
4738,117755,National authorities,8.4588,99.8683,Asia,Thailand,Nakhon Si Thammarat,THA NGIO,Unknown,8/9/04,8/9/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",82000.0,,700.0,81300.0,,,,,,2004.68767,96
5401,117769,National authorities,15.3375,99.8638,Asia,Thailand,Uthai Thani,NONG NANG,Unknown,10/9/04,10/9/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",19500.0,,4041.0,15459.0,,,,,,2004.69315,97
5588,117777,National authorities,14.6222,100.0,Asia,Thailand,Suphanburi,DON CHEDI,Unknown,11/9/04,11/9/04,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",55000.0,,23152.0,21848.0,,,,,,2004.69589,98
49164,117779,National authorities,15.5047,99.9913,Asia,Thailand,Nakhon Sawan,HAT SUNG,Unknown,13/09/2004,13/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",61.0,,20.0,41.0,,,,,,2004.70137,99
51290,117781,National authorities,14.2761,100.2163,Asia,Thailand,Suphanburi,SALI,Unknown,14/09/2004,14/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",17500.0,,9125.0,8375.0,,,,,,2004.70411,100
52712,117787,National authorities,16.5752,100.2505,Asia,Thailand,Phitsanulok,KHOK SALU,Unknown,15/09/2004,15/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",39.0,,7.0,32.0,,,,,,2004.70685,101
69255,5072,Other,11.55,104.91667,Asia,Cambodia,Phnom Penh,Phnom Penh,Unknown,16/09/2004,23/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",4500.0,,4500.0,,,,,,,2004.70959,102
55813,117791,National authorities,14.3813,101.0055,Asia,Thailand,Saraburi,CHAROEN T,Unknown,16/09/2004,16/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",7000.0,,387.0,6613.0,,,,,,2004.70959,103
58972,117801,National authorities,14.7883,99.7527,Asia,Thailand,Suphanburi,NONG KHAM,Unknown,17/09/2004,17/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",3000.0,,201.0,2799.0,,,,,,2004.71233,104
61119,117805,National authorities,15.4913,99.9736,Asia,Thailand,Uthai Thani,THUNG YAI,Unknown,18/09/2004,18/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",14800.0,,6642.0,8158.0,,,,,,2004.71507,105
70800,5752,Other,14.55,100.8499,Asia,Thailand,Saraburi,Sao Hai,Unknown,19/09/2004,24/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken",,,45.0,45.0,,,,,,2004.71781,106
64382,117807,National authorities,14.5377,100.0699,Asia,Thailand,Suphanburi,BAN PHO,Unknown,20/09/2004,20/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",2500.0,,373.0,2127.0,,,,,,2004.72055,107
66525,117811,National authorities,14.3291,100.2466,Asia,Thailand,Suphanburi,PHAI KONG,Unknown,21/09/2004,21/09/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",22000.0,,1350.0,6492.0,,,,,,2004.72329,108
