,Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths,observationdate_value,count
58599,225461,OIE,23.6123,120.192825,Asia,Taiwan (Province of China),Taiwan Sheng,Kouhu Township,Exact,28/02/2017,17/03/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",30000.0,4652.0,4652.0,25348.0,0.0,,,,,2017.16164,2204
37711,224560,OIE,9.99188,8.82948,Africa,Nigeria,Plateau,Zaria rd,Exact,28/02/2017,3/3/17,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",1550.0,25.0,25.0,1525.0,0.0,,0.0,,,2017.16164,2205
40345,224919,OIE,6.0608260000000005,102.24297299999999,Asia,Malaysia,Kelantan,Kg.Pulau Tebu,Unknown,28/02/2017,8/3/17,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",26.0,16.0,15.0,11.0,0.0,,,,,2017.16164,2206
41098,224939,OIE,26.635389,87.271422,Asia,Nepal,Eastern,"IthariItahari-12, Santitole,Khanar, Sunsari",Exact,1/3/17,10/3/17,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",6200.0,3650.0,3650.0,2550.0,,,,,,2017.16438,2207
39461,224544,National authorities,35.132,-86.56700000000001,Americas,United States of America,Tennessee,Lincoln,Exact,1/3/17,5/3/17,Confirmed,Influenza - Avian,H7N9 HPAI,"domestic, chicken",73500.0,,700.0,72800.0,,,0.0,,,2017.16438,2208
48015,224992,OIE,11.550267,7.4391169999999995,Africa,Nigeria,Katsina,Bakori,Exact,1/3/17,13/03/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",3198.0,320.0,320.0,2878.0,,,0.0,,,2017.16438,2209
37281,226621,National authorities,-8.790463,120.973,Asia,Indonesia,Nusatenggara Timur,TANALODU,Exact,1/3/17,1/3/17,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,40.0,,,,,,,2017.16438,2210
48018,224991,OIE,9.96222,8.86121,Africa,Nigeria,Plateau,Gindiri ,Exact,1/3/17,13/03/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",806.0,26.0,26.0,780.0,,,,,,2017.16438,2211
37283,226618,National authorities,-8.778503,120.95200000000001,Asia,Indonesia,Nusatenggara Timur,KISANATA,Exact,1/3/17,1/3/17,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,15.0,,,,,,,2017.16438,2212
48013,224993,OIE,10.400162,9.465408,Africa,Nigeria,Bauchi,Toro,Exact,2/3/17,13/03/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",14500.0,4836.0,4836.0,9664.0,,,0.0,,,2017.16712,2213
58612,225463,OIE,23.78528,120.23528,Asia,Taiwan (Province of China),Taiwan Sheng,Mailiao Township,Exact,2/3/17,17/03/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",12000.0,1213.0,1213.0,10787.0,0.0,,,,,2017.16712,2214
42076,227741,OIE,35.44335,126.58847,Asia,Republic of Korea,Chollabuk-do,Gochang-gun,Exact,2/3/17,12/5/17,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",83067.0,67.0,67.0,83000.0,0.0,,,,,2017.16712,2215
50827,227055,OIE,35.44335,126.58847,Asia,Republic of Korea,Chollabuk-do,Gochang-gun,Exact,2/3/17,14/04/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",83067.0,67.0,67.0,83000.0,0.0,,,,,2017.16712,2216
37385,226623,National authorities,-8.708822999999999,120.97399999999999,Asia,Indonesia,Nusatenggara Timur,NABELENA,Exact,2/3/17,2/3/17,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,60.0,,,,,,,2017.16712,2217
58631,225465,OIE,23.73051,120.23727099999999,Asia,Taiwan (Province of China),Taiwan Sheng,Taixi Township,Exact,2/3/17,17/03/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",16000.0,59.0,59.0,15941.0,0.0,,,,,2017.16712,2218
37388,226619,National authorities,-8.766742,120.95700000000001,Asia,Indonesia,Nusatenggara Timur,SUSU,Exact,2/3/17,2/3/17,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,36.0,,,,,,,2017.16712,2219
58625,225466,OIE,23.7536,120.21897,Asia,Taiwan (Province of China),Taiwan Sheng,Taixi Township,Exact,3/3/17,17/03/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",5200.0,544.0,544.0,4656.0,0.0,,,,,2017.16986,2220
37701,226613,National authorities,-8.773338,120.92399999999999,Asia,Indonesia,Nusatenggara Timur,BEIWALI,Exact,3/3/17,3/3/17,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,296.0,,,,,,,2017.16986,2221
